palabra,emoji,categoria,España,México,Guatemala,El Salvador,Honduras,Nicaragua,Costa Rica,Panamá,Cuba,Rep. Dominicana,Puerto Rico,Colombia,Venezuela,Ecuador,Perú,Bolivia,Paraguay,Uruguay,Argentina,Chile,Guinea Ecuatorial
manejar,🚗,Verbo,'conducir','manejar',manejar / conducir (un auto),manejar / conducir (un auto),manejar / conducir (un auto),manejar / conducir (un auto),manejar / conducir (un auto),manejar / conducir (un auto),manejar / conducir (un auto),manejar / conducir (un auto),manejar / conducir (un auto),'manejar','manejar','manejar','manejar',manejar / conducir (un auto),manejar / conducir (un auto),'manejar','manejar','manejar',manejar / conducir (un auto)
estacionar,🅿️,Verbo,'aparcar','estacionar',estacionar el auto,estacionar el auto,estacionar el auto,estacionar el auto,'parquear','parquear',estacionar el auto,'parquear','parquear','parquear','parquear','estacionar','estacionar',estacionar el auto,estacionar el auto,'estacionar','estacionar','estacionar',estacionar el auto
platicar,💬,Verbo,'charlar / hablar','platicar','platicar','platicar','platicar',conversar / charlar,conversar / charlar,conversar / charlar,conversar / charlar,conversar / charlar,conversar / charlar,'conversar','conversar','conversar','conversar',conversar / charlar,conversar / charlar,conversar / charlar,'charlar / hablar','conversar',conversar / charlar
ahorita,⏳,Tiempo,ahora mismo / ya,puede ser 'ya' o 'al rato / nunca' 😅 (ambiguo),ahora mismo,ahora mismo,ahora mismo,ahora mismo,puede ser 'ya' o 'al rato / nunca' 😅 (ambiguo),ahora mismo,ahora mismo,ahora mismo,ahora mismo,puede ser 'ya' o 'al rato / nunca' 😅 (ambiguo),puede ser 'ya' o 'al rato / nunca' 😅 (ambiguo),ahora mismo,ahora mismo / ya,ahora mismo,ahora mismo,ahora mismo,ahora mismo,ahora mismo,ahora mismo
ya,⚡,Tiempo,de inmediato,'ahorita',de inmediato,de inmediato,de inmediato,de inmediato,de inmediato,de inmediato,de inmediato,de inmediato,de inmediato,'de una',de inmediato,de inmediato,'al toque',de inmediato,de inmediato,'ya mismo / enseguida','de una','al tiro',de inmediato
ok,👌,Expresión,'vale','órale / sale',de acuerdo / está bien,de acuerdo / está bien,de acuerdo / está bien,de acuerdo / está bien,de acuerdo / está bien,de acuerdo / está bien,de acuerdo / está bien,de acuerdo / está bien,de acuerdo / está bien,'listo / de una','fos/fino',de acuerdo / está bien,'ya / bacán',de acuerdo / está bien,de acuerdo / está bien,'dale','dale','ya / bacán',de acuerdo / está bien
no,🙅,Expresión,'nanai','nel / nones',negación,negación,negación,negación,negación,negación,negación,negación,negación,'qué va',negación,negación,negación,negación,negación,negación,negación,negación,negación
sí,🙆,Expresión,afirmación,'simón',afirmación,afirmación,afirmación,afirmación,afirmación,afirmación,afirmación,afirmación,afirmación,'de una / claro',afirmación,afirmación,'obvio / al toque',afirmación,afirmación,afirmación,'de una / claro',afirmación,afirmación
pelar,🍌,Verbo,quitar la cáscara,ignorar ('no me pela'),quitar la cáscara,quitar la cáscara,quitar la cáscara,quitar la cáscara,criticar / chismear,quitar la cáscara,quitar la cáscara,quitar la cáscara,quitar la cáscara,criticar / chismear,'pelar billete' = mostrar dinero,quitar la cáscara,quitar la cáscara,quitar la cáscara,quitar la cáscara,quitar la cáscara,quitar la cáscara,quitar la cáscara,quitar la cáscara
bola,⚽,Verbo / objeto,pelota / bola,multitud / 'una bola de' = montón,pelota / bola,pelota / bola,pelota / bola,pelota / bola,pelota / bola,pelota / bola,pelota / bola,pelota / bola,pelota / bola,'parar bola' = prestar atención,'parar bola' = prestar atención,pelota / bola,pelota / bola,pelota / bola,pelota / bola,'dar bola / dar pelota' = prestar atención,'dar bola / dar pelota' = prestar atención,pelota / bola,pelota / bola
funar,🚫,Verbo (Gen-Z),exponer / cancelar a alguien públicamente,exponer / cancelar a alguien públicamente,exponer / cancelar a alguien públicamente,exponer / cancelar a alguien públicamente,exponer / cancelar a alguien públicamente,exponer / cancelar a alguien públicamente,exponer / cancelar a alguien públicamente,exponer / cancelar a alguien públicamente,exponer / cancelar a alguien públicamente,exponer / cancelar a alguien públicamente,exponer / cancelar a alguien públicamente,exponer / cancelar a alguien públicamente,exponer / cancelar a alguien públicamente,exponer / cancelar a alguien públicamente,exponer / cancelar a alguien públicamente,exponer / cancelar a alguien públicamente,exponer / cancelar a alguien públicamente,'escrachar' = exponer,'escrachar' = exponer,funar / escrachar,exponer / cancelar a alguien públicamente
cagar,💩,Verbo ⚠️,'cagarla' = arruinarlo,'me caga' = me molesta,defecar (literal) ⚠️,defecar (literal) ⚠️,defecar (literal) ⚠️,defecar (literal) ⚠️,'estar cagado' = tener miedo,defecar (literal) ⚠️,defecar (literal) ⚠️,defecar (literal) ⚠️,defecar (literal) ⚠️,'estar cagado' = tener miedo,defecar (literal) ⚠️,defecar (literal) ⚠️,defecar (literal) ⚠️,defecar (literal) ⚠️,defecar (literal) ⚠️,'cagarla' = arruinarlo,'cagar a alguien' = retar/regañar,'me caga' = me molesta,defecar (literal) ⚠️
regar,🌱,Verbo,regar plantas,'regar el chisme' = difundir,regar plantas,regar plantas,regar plantas,regar plantas,regar plantas,regar plantas,regar plantas,regar plantas,regar plantas,'regar el chisme' = difundir,regar plantas,regar plantas,regar plantas,regar plantas,regar plantas,regar plantas,regar plantas,regar plantas,regar plantas
marica,😅,Amigo / insulto ⚠️,insulto homofóbico ⚠️,insulto homofóbico ⚠️,insulto homofóbico ⚠️,insulto homofóbico ⚠️,insulto homofóbico ⚠️,insulto homofóbico ⚠️,insulto homofóbico ⚠️,insulto homofóbico ⚠️,insulto homofóbico ⚠️,insulto homofóbico ⚠️,insulto homofóbico ⚠️,"muletilla entre amigos ('¿qué más, marica?')",'maricón' = amigo (según tono),insulto homofóbico ⚠️,insulto homofóbico ⚠️,insulto homofóbico ⚠️,insulto homofóbico ⚠️,insulto homofóbico ⚠️,insulto homofóbico ⚠️,'maricón' = amigo (según tono),insulto homofóbico ⚠️
weon,🤙,Amigo / insulto,tipo / amigo / tonto (todo según el tono),tipo / amigo / tonto (todo según el tono),tipo / amigo / tonto (todo según el tono),tipo / amigo / tonto (todo según el tono),tipo / amigo / tonto (todo según el tono),tipo / amigo / tonto (todo según el tono),tipo / amigo / tonto (todo según el tono),tipo / amigo / tonto (todo según el tono),tipo / amigo / tonto (todo según el tono),tipo / amigo / tonto (todo según el tono),tipo / amigo / tonto (todo según el tono),tipo / amigo / tonto (todo según el tono),tipo / amigo / tonto (todo según el tono),tipo / amigo / tonto (todo según el tono),tipo / amigo / tonto (todo según el tono),tipo / amigo / tonto (todo según el tono),tipo / amigo / tonto (todo según el tono),tipo / amigo / tonto (todo según el tono),tipo / amigo / tonto (todo según el tono),'weón/hueón' = amigo o tonto,tipo / amigo / tonto (todo según el tono)
chido,😎,Cualidad,genial / cool,genial,genial / cool,genial / cool,genial / cool,genial / cool,genial / cool,genial / cool,genial / cool,genial / cool,genial / cool,genial / cool,genial / cool,genial / cool,genial / cool,genial / cool,genial / cool,genial / cool,genial / cool,genial / cool,genial / cool
crush,😍,Gen-Z (global),igual en toda la región (redes/inglés),igual en toda la región (redes/inglés),igual en toda la región (redes/inglés),igual en toda la región (redes/inglés),igual en toda la región (redes/inglés),igual en toda la región (redes/inglés),igual en toda la región (redes/inglés),igual en toda la región (redes/inglés),igual en toda la región (redes/inglés),igual en toda la región (redes/inglés),igual en toda la región (redes/inglés),igual en toda la región (redes/inglés),igual en toda la región (redes/inglés),igual en toda la región (redes/inglés),igual en toda la región (redes/inglés),igual en toda la región (redes/inglés),igual en toda la región (redes/inglés),igual en toda la región (redes/inglés),igual en toda la región (redes/inglés),igual en toda la región (redes/inglés),igual en toda la región (redes/inglés)
cringe,😬,Gen-Z (global),igual en toda la región,'qué oso' (vergüenza),vergüenza ajena,vergüenza ajena,vergüenza ajena,vergüenza ajena,vergüenza ajena,vergüenza ajena,vergüenza ajena,vergüenza ajena,vergüenza ajena,'qué oso' (vergüenza),igual en toda la región,igual en toda la región,igual en toda la región,vergüenza ajena,vergüenza ajena,igual en toda la región,'qué cringe / plancha',igual en toda la región,vergüenza ajena
rizz,😏,Gen-Z (global),igual en toda la región (redes),igual en toda la región (redes),igual en toda la región (redes),igual en toda la región (redes),igual en toda la región (redes),igual en toda la región (redes),igual en toda la región (redes),igual en toda la región (redes),igual en toda la región (redes),igual en toda la región (redes),igual en toda la región (redes),igual en toda la región (redes),igual en toda la región (redes),igual en toda la región (redes),igual en toda la región (redes),igual en toda la región (redes),igual en toda la región (redes),igual en toda la región (redes),igual en toda la región (redes),igual en toda la región (redes),igual en toda la región (redes)
delulu,🦄,Gen-Z (global),igual en toda la región (redes),igual en toda la región (redes),igual en toda la región (redes),igual en toda la región (redes),igual en toda la región (redes),igual en toda la región (redes),igual en toda la región (redes),igual en toda la región (redes),igual en toda la región (redes),igual en toda la región (redes),igual en toda la región (redes),igual en toda la región (redes),igual en toda la región (redes),igual en toda la región (redes),igual en toda la región (redes),igual en toda la región (redes),igual en toda la región (redes),igual en toda la región (redes),igual en toda la región (redes),igual en toda la región (redes),igual en toda la región (redes)
random,🎲,Gen-Z (global),igual en toda la región (del inglés),igual en toda la región (del inglés),igual en toda la región (del inglés),igual en toda la región (del inglés),igual en toda la región (del inglés),igual en toda la región (del inglés),igual en toda la región (del inglés),igual en toda la región (del inglés),igual en toda la región (del inglés),igual en toda la región (del inglés),igual en toda la región (del inglés),igual en toda la región (del inglés),igual en toda la región (del inglés),igual en toda la región (del inglés),igual en toda la región (del inglés),igual en toda la región (del inglés),igual en toda la región (del inglés),igual en toda la región (del inglés),igual en toda la región (del inglés),igual en toda la región (del inglés),igual en toda la región (del inglés)
ghostear,👻,Gen-Z (global),igual en toda la región (del inglés 'ghost'),igual en toda la región (del inglés 'ghost'),igual en toda la región (del inglés 'ghost'),igual en toda la región (del inglés 'ghost'),igual en toda la región (del inglés 'ghost'),igual en toda la región (del inglés 'ghost'),igual en toda la región (del inglés 'ghost'),igual en toda la región (del inglés 'ghost'),igual en toda la región (del inglés 'ghost'),igual en toda la región (del inglés 'ghost'),igual en toda la región (del inglés 'ghost'),igual en toda la región (del inglés 'ghost'),igual en toda la región (del inglés 'ghost'),igual en toda la región (del inglés 'ghost'),igual en toda la región (del inglés 'ghost'),igual en toda la región (del inglés 'ghost'),igual en toda la región (del inglés 'ghost'),igual en toda la región (del inglés 'ghost'),igual en toda la región (del inglés 'ghost'),igual en toda la región (del inglés 'ghost'),igual en toda la región (del inglés 'ghost')
shippear,🚢❤️,Gen-Z (global),igual en toda la región (del inglés 'ship'),igual en toda la región (del inglés 'ship'),igual en toda la región (del inglés 'ship'),igual en toda la región (del inglés 'ship'),igual en toda la región (del inglés 'ship'),igual en toda la región (del inglés 'ship'),igual en toda la región (del inglés 'ship'),igual en toda la región (del inglés 'ship'),igual en toda la región (del inglés 'ship'),igual en toda la región (del inglés 'ship'),igual en toda la región (del inglés 'ship'),igual en toda la región (del inglés 'ship'),igual en toda la región (del inglés 'ship'),igual en toda la región (del inglés 'ship'),igual en toda la región (del inglés 'ship'),igual en toda la región (del inglés 'ship'),igual en toda la región (del inglés 'ship'),igual en toda la región (del inglés 'ship'),igual en toda la región (del inglés 'ship'),igual en toda la región (del inglés 'ship'),igual en toda la región (del inglés 'ship')
flexear,💪💸,Gen-Z (global),igual en toda la región (del inglés 'flex'),igual en toda la región (del inglés 'flex'),igual en toda la región (del inglés 'flex'),igual en toda la región (del inglés 'flex'),igual en toda la región (del inglés 'flex'),igual en toda la región (del inglés 'flex'),igual en toda la región (del inglés 'flex'),igual en toda la región (del inglés 'flex'),igual en toda la región (del inglés 'flex'),igual en toda la región (del inglés 'flex'),igual en toda la región (del inglés 'flex'),igual en toda la región (del inglés 'flex'),igual en toda la región (del inglés 'flex'),igual en toda la región (del inglés 'flex'),igual en toda la región (del inglés 'flex'),igual en toda la región (del inglés 'flex'),igual en toda la región (del inglés 'flex'),igual en toda la región (del inglés 'flex'),igual en toda la región (del inglés 'flex'),igual en toda la región (del inglés 'flex'),igual en toda la región (del inglés 'flex')
bro,🤝,Gen-Z (global),'bro / brodi','bro / brodi','bro / brodi','bro / brodi','bro / brodi','bro / brodi','bro / brodi','bro / brodi','bro / brodi','bro / brodi','bro / brodi','bro / brodi','bro / brodi','bro / brodi','bro / brodi','bro / brodi','bro / brodi','bro / brodi','bro / brodi','bro / brodi','bro / brodi'
tóxico,☠️,Gen-Z (global),igual en toda la región,igual en toda la región,igual en toda la región,igual en toda la región,igual en toda la región,igual en toda la región,igual en toda la región,igual en toda la región,igual en toda la región,igual en toda la región,igual en toda la región,igual en toda la región,igual en toda la región,igual en toda la región,igual en toda la región,igual en toda la región,igual en toda la región,igual en toda la región,igual en toda la región,igual en toda la región,igual en toda la región
redflag,🚩,Gen-Z (global),'bandera roja / red flag','bandera roja / red flag','bandera roja / red flag','bandera roja / red flag','bandera roja / red flag','bandera roja / red flag','bandera roja / red flag','bandera roja / red flag','bandera roja / red flag','bandera roja / red flag','bandera roja / red flag','bandera roja / red flag','bandera roja / red flag','bandera roja / red flag','bandera roja / red flag','bandera roja / red flag','bandera roja / red flag','bandera roja / red flag','bandera roja / red flag','bandera roja / red flag','bandera roja / red flag'
perreo,🍑🔥,Música / baile,igual (cultura urbana),perreo / sandungueo,baile sensual de reguetón,baile sensual de reguetón,baile sensual de reguetón,baile sensual de reguetón,baile sensual de reguetón,perreo / sandungueo,baile sensual de reguetón,perreo / sandungueo,perreo / sandungueo,perreo / sandungueo,perreo / sandungueo,igual (cultura urbana),igual (cultura urbana),baile sensual de reguetón,baile sensual de reguetón,baile sensual de reguetón,igual (cultura urbana),igual (cultura urbana),baile sensual de reguetón
chévere,😎,Cualidad,genial / bien,genial / bien,genial / bien,genial / bien,genial / bien,genial / bien,genial / bien,genial / bueno,genial / bueno,genial / bueno,genial / bien,genial / bueno,genial / bueno,genial / bueno,genial / bueno,genial / bien,genial / bien,genial / bien,genial / bien,genial / bien,genial / bien
tinto,☕🍷,Comida,vino tinto,vino tinto,vino tinto,vino tinto,vino tinto,vino tinto,vino tinto,vino tinto,vino tinto,vino tinto,vino tinto,café negro,vino tinto,vino tinto,vino tinto,vino tinto,vino tinto,vino tinto,vino tinto,vino tinto,vino tinto
